"seller_id","seller_state","seller_city","total_orders","total_revenue","avg_order_value"
"4869f7a5dfa277a7dca6462dcf3b52b2","SP","guariba","1124","22698793","19772.4678"
"53243585a1d6dc2643021fd1853d8905","BA","lauro de freitas","348","21794044","54485.1100"
"4a3ca9315b744ce9f8e9374361493884","SP","ibitinga","1772","19688212","10101.6993"
"fa1c13f2614d7b5c4749cbc52fecda94","SP","sumare","578","19091714","32973.5993"
"7c67e1448b00f6e969d365cea6b010ab","SP","itaquaquecetuba","973","18657005","13769.0074"
"7e93a43ef30c4f03f38b393420bc753a","SP","barueri","319","16598149","51547.0466"
"da8622b14eb17ae2831f4ac5b9dab84a","SP","piracicaba","1311","15981687","10324.0872"
"7a67c85e85bb2ce8582c35f2203ad736","SP","sao paulo","1145","13965869","12091.6615"
"1025f0e2d44d7041d6cf58b6550e0bfa","SP","sao paulo","910","13820856","9732.9972"
"955fee9216a65b617aa5c0531780ce60","SP","sao paulo","1261","13183671","8956.2982"
"46dc3b2cc0980fb8ec44634e21d2718e","RJ","rio de janeiro","503","12281138","23482.0994"
"6560211a19b47992c3666cc44a7e94c0","SP","sao paulo","1819","12070283","6047.2360"
"620c87c171fb2a6dd6e8bb4dec959fc6","RJ","petropolis","722","11246150","14455.2057"
"7d13fca15225358621be4086e1eb0964","SP","ribeirao preto","558","11243618","19691.0998"
"5dceca129747e92ff8ef7a997dc4f8ca","SP","santa barbara d´oeste","322","11112673","32398.4636"
"1f50f920176fa81dab994f9023523100","SP","sao jose do rio preto","1399","10665571","5537.6796"
"cc419e0650a3c5ba77189a1882b7556a","SP","santo andre","1651","10109096","5880.8005"
"a1043bafd471dff536d0c462352beb48","MG","ilicinea","702","9930923","13206.0146"
"3d871de0142ce09b7081e2b9d1733cb1","SP","campo limpo paulista","1064","9340740","8258.8329"
"edb1ef5e36e0c8cd84eb3c9b003e486d","RJ","teresopolis","165","7914490","45485.5747"
"ccc4bbb5f32a6ab2b7066a4130f114e3","PR","curitiba","184","7292672","38585.5661"
"f7ba60f8c3f99e7ee4042fdef03b70c4","SP","sao bernardo do campo","218","6807000","29724.8908"
"fe2032dab1a61af8794248c8196565c9","SP","campinas","293","6568971","21537.6098"
"8581055ce74af1daba164fdbd55a40de","SP","guarulhos","380","6401122","14990.9180"
