month,total_orders,total_revenue,prev_month_revenue,revenue_growth_pct
2017-01,750,111798.36,,
2017-02,1653,234223.4,111798.36,109.51
2017-03,2546,359198.85,234223.4,53.36
2017-04,2303,340669.68,359198.85,-5.16
2017-05,3546,489338.25,340669.68,43.64
2017-06,3135,421923.37,489338.25,-13.78
2017-07,3872,481604.52,421923.37,14.15
2017-08,4193,554699.7,481604.52,15.18
2017-09,4150,607399.67,554699.7,9.5
2017-10,4478,648247.65,607399.67,6.73
2017-11,7289,987765.37,648247.65,52.37
2017-12,5513,726033.19,987765.37,-26.5
2018-01,7069,924645,726033.19,27.36
2018-02,6555,826437.13,924645,-10.62
2018-03,7003,953356.25,826437.13,15.36
2018-04,6798,973534.09,953356.25,2.12
2018-05,6749,977544.69,973534.09,0.41
2018-06,6099,856077.86,977544.69,-12.43
2018-07,6159,867953.46,856077.86,1.39
2018-08,6351,838576.64,867953.46,-3.38
