cohort_month,activity_month,active_sellers
2017-01,2017-01,219
2017-01,2017-02,166
2017-01,2017-03,162
2017-01,2017-04,139
2017-01,2017-05,149
2017-01,2017-06,136
2017-01,2017-07,125
2017-01,2017-08,136
2017-01,2017-09,123
2017-01,2017-10,126
2017-01,2017-11,124
2017-01,2017-12,109
2017-01,2018-01,115
2017-01,2018-02,108
2017-01,2018-03,109
2017-01,2018-04,102
2017-01,2018-05,88
2017-01,2018-06,87
2017-01,2018-07,80
2017-01,2018-08,88
2017-02,2017-02,236
2017-02,2017-03,150
2017-02,2017-04,134
2017-02,2017-05,141
2017-02,2017-06,111
2017-02,2017-07,122
2017-02,2017-08,121
2017-02,2017-09,107
2017-02,2017-10,107
2017-02,2017-11,101
2017-02,2017-12,107
2017-02,2018-01,91
2017-02,2018-02,89
2017-02,2018-03,88
2017-02,2018-04,93
2017-02,2018-05,74
2017-02,2018-06,78
2017-02,2018-07,72
2017-02,2018-08,65
2017-03,2017-03,164
2017-03,2017-04,99
2017-03,2017-05,93
2017-03,2017-06,87
2017-03,2017-07,81
2017-03,2017-08,82
2017-03,2017-09,77
2017-03,2017-10,71
2017-03,2017-11,82
2017-03,2017-12,64
2017-03,2018-01,67
2017-03,2018-02,58
2017-03,2018-03,57
2017-03,2018-04,54
2017-03,2018-05,52
2017-03,2018-06,52
2017-03,2018-07,45
2017-03,2018-08,48
2017-04,2017-04,116
2017-04,2017-05,65
2017-04,2017-06,51
2017-04,2017-07,61
2017-04,2017-08,56
2017-04,2017-09,53
2017-04,2017-10,44
2017-04,2017-11,52
2017-04,2017-12,47
2017-04,2018-01,46
2017-04,2018-02,37
2017-04,2018-03,41
2017-04,2018-04,38
2017-04,2018-05,36
2017-04,2018-06,30
2017-04,2018-07,33
2017-04,2018-08,28
2017-05,2017-05,115
2017-05,2017-06,64
2017-05,2017-07,61
2017-05,2017-08,63
2017-05,2017-09,58
2017-05,2017-10,56
2017-05,2017-11,55
2017-05,2017-12,48
2017-05,2018-01,52
2017-05,2018-02,53
2017-05,2018-03,46
2017-05,2018-04,41
2017-05,2018-05,36
2017-05,2018-06,29
2017-05,2018-07,35
2017-05,2018-08,27
2017-06,2017-06,70
2017-06,2017-07,30
2017-06,2017-08,28
2017-06,2017-09,33
2017-06,2017-10,23
2017-06,2017-11,27
2017-06,2017-12,27
2017-06,2018-01,24
2017-06,2018-02,18
2017-06,2018-03,21
2017-06,2018-04,21
2017-06,2018-05,17
2017-06,2018-06,15
2017-06,2018-07,17
2017-06,2018-08,16
2017-07,2017-07,113
2017-07,2017-08,77
2017-07,2017-09,69
2017-07,2017-10,70
2017-07,2017-11,76
2017-07,2017-12,69
2017-07,2018-01,64
2017-07,2018-02,60
2017-07,2018-03,60
2017-07,2018-04,59
2017-07,2018-05,58
2017-07,2018-06,57
2017-07,2018-07,50
2017-07,2018-08,55
2017-08,2017-08,120
2017-08,2017-09,66
2017-08,2017-10,57
2017-08,2017-11,69
2017-08,2017-12,55
2017-08,2018-01,57
2017-08,2018-02,62
2017-08,2018-03,55
2017-08,2018-04,50
2017-08,2018-05,49
2017-08,2018-06,49
2017-08,2018-07,40
2017-08,2018-08,42
2017-09,2017-09,125
2017-09,2017-10,67
2017-09,2017-11,67
2017-09,2017-12,59
2017-09,2018-01,64
2017-09,2018-02,50
2017-09,2018-03,58
2017-09,2018-04,53
2017-09,2018-05,53
2017-09,2018-06,43
2017-09,2018-07,40
2017-09,2018-08,42
2017-10,2017-10,141
2017-10,2017-11,97
2017-10,2017-12,79
2017-10,2018-01,83
2017-10,2018-02,67
2017-10,2018-03,71
2017-10,2018-04,69
2017-10,2018-05,67
2017-10,2018-06,56
2017-10,2018-07,61
2017-10,2018-08,48
2017-11,2017-11,187
2017-11,2017-12,98
2017-11,2018-01,104
2017-11,2018-02,83
2017-11,2018-03,88
2017-11,2018-04,81
2017-11,2018-05,70
2017-11,2018-06,71
2017-11,2018-07,78
2017-11,2018-08,63
2017-12,2017-12,84
2017-12,2018-01,51
2017-12,2018-02,46
2017-12,2018-03,46
2017-12,2018-04,41
2017-12,2018-05,37
2017-12,2018-06,33
2017-12,2018-07,31
2017-12,2018-08,31
2018-01,2018-01,138
2018-01,2018-02,80
2018-01,2018-03,70
2018-01,2018-04,80
2018-01,2018-05,63
2018-01,2018-06,65
2018-01,2018-07,56
2018-01,2018-08,51
2018-02,2018-02,117
2018-02,2018-03,63
2018-02,2018-04,61
2018-02,2018-05,53
2018-02,2018-06,50
2018-02,2018-07,57
2018-02,2018-08,50
2018-03,2018-03,108
2018-03,2018-04,67
2018-03,2018-05,59
2018-03,2018-06,58
2018-03,2018-07,49
2018-03,2018-08,48
2018-04,2018-04,195
2018-04,2018-05,121
2018-04,2018-06,105
2018-04,2018-07,104
2018-04,2018-08,94
2018-05,2018-05,172
2018-05,2018-06,98
2018-05,2018-07,99
2018-05,2018-08,95
2018-06,2018-06,189
2018-06,2018-07,107
2018-06,2018-08,114
2018-07,2018-07,184
2018-07,2018-08,104
2018-08,2018-08,152
