product_category_name,total_orders,total_revenue
Health & Beauty,8610,1229557.5
Watches & Gifts,5491,1163465.91
"Bed, Bath & Table",9267,1022955.77
Sports & Leisure,7513,952840.4
Computer Accessories,6518,888055.59
Furniture & Decor,6258,706237.17
Housewares,5734,614341.62
Cool Stuff,3552,609158
Auto,3802,577838.39
Toys,3782,467179.98
Garden Tools,3443,469135.4
Baby,2833,411768.07
Perfumery,3160,399124.87
Telephony,4086,309631.94
Office Furniture,1273,273960.7
Stationery,2311,230943.23
PCs,190,223357.38
Pet Shop,1710,214201.71
Musical Instruments,611,184315.74
Small Appliances,609,182754.12
Electronics,2516,154935.94
Fashion Bags & Accessories,1812,148945.19
Consoles & Games,1053,138421.56
Construction Tools — Construction,740,131612.9
Luggage & Accessories,892,128965.73
Home Appliances 2,238,113312.22
Home Construction,491,83383.6
Home Appliances,750,80126.31
Agribusiness & Industry,212,74474.22
Living Room Furniture,437,73462.81
Home Comfort,396,63710.05
Fixed Telephony,217,59583.74
Air Conditioning,246,55070.92
Audio,350,50688.5
Portable Home Oven & Coffee,76,47445.71
"Kitchen, Dining & Garden Furniture",247,38513.07
General Interest Books,501,38002.32
Construction Tools — Lighting,241,36582.82
Construction Tools — Security,141,33251.27
"Industry, Commerce & Business",233,28424.36
Food,450,25943.38
Marketplace,273,23072.06
Construction Tools — Garden,202,21282.81
Arts,202,21010.62
Fashion Shoes,248,20630.82
Beverages,286,18384.44
Signage & Security,140,16301.21
Bedroom Furniture,102,15860.55
Technical Books,253,15809.84
Construction Tools — Tools,99,14785.03
Food & Beverages,227,12869.62
Fashion Men's Clothing,131,8443.05
Fashion Underwear & Beachwear,126,8046.21
Christmas Items,132,8037.16
"Tablets, Printing & Imaging",79,7528.41
Cine & Photo,68,6708.38
Music,38,6034.79
DVDs & Blu-ray,59,5863.63
Party Supplies,40,4175
Imported Books,53,3827.87
Mattress & Upholstered Furniture,29,3284.18
Portable Kitchen & Food Prep,15,3243.02
Fashion Women's Clothing,48,3018.06
Fashion Sport,27,2119.51
La Cuisine,13,2055
Arts & Crafts,24,1813.01
Diapers & Hygiene,27,1567.67
Gaming PC,8,1336.8
Flowers,29,1110.04
Home Comfort 2,24,562.89
Music CDs & DVDs,12,562.01
Fashion Children's Clothing,8,569.85
Insurance & Services,2,283.7
